stocking_date,meal_id,stocked_quantity
2020-06-01,0,76
2020-06-01,1,42
2020-06-01,2,56
2020-06-01,3,74
2020-06-01,4,100
2020-06-01,5,63
2020-06-01,6,49
2020-06-01,7,72
2020-06-01,8,68
2020-06-01,9,78
2020-06-01,10,59
2020-06-01,11,71
2020-06-01,12,72
2020-06-01,13,78
2020-06-01,14,92
2020-06-01,15,85
2020-06-01,16,81
2020-06-01,17,108
2020-06-01,18,87
2020-07-01,0,88
2020-07-01,1,107
2020-07-01,2,85
2020-07-01,3,109
2020-07-01,4,155
2020-07-01,5,120
2020-07-01,6,110
2020-07-01,7,148
2020-07-01,8,151
2020-07-01,9,101
2020-07-01,10,129
2020-07-01,11,116
2020-07-01,12,129
2020-07-01,13,92
2020-07-01,14,119
2020-07-01,15,127
2020-07-01,16,127
2020-07-01,17,105
2020-07-01,18,103
2020-08-01,0,131
2020-08-01,1,177
2020-08-01,2,188
2020-08-01,3,185
2020-08-01,4,207
2020-08-01,5,167
2020-08-01,6,177
2020-08-01,7,189
2020-08-01,8,166
2020-08-01,9,175
2020-08-01,10,175
2020-08-01,11,193
2020-08-01,12,188
2020-08-01,13,177
2020-08-01,14,158
2020-08-01,15,157
2020-08-01,16,176
2020-08-01,17,206
2020-08-01,18,197
2020-09-01,0,268
2020-09-01,1,258
2020-09-01,2,313
2020-09-01,3,270
2020-09-01,4,262
2020-09-01,5,300
2020-09-01,6,298
2020-09-01,7,234
2020-09-01,8,268
2020-09-01,9,263
2020-09-01,10,346
2020-09-01,11,264
2020-09-01,12,275
2020-09-01,13,259
2020-09-01,14,260
2020-09-01,15,260
2020-09-01,16,279
2020-09-01,17,300
2020-09-01,18,258
2020-10-01,0,423
2020-10-01,1,384
2020-10-01,2,370
2020-10-01,3,443
2020-10-01,4,432
2020-10-01,5,403
2020-10-01,6,400
2020-10-01,7,409
2020-10-01,8,426
2020-10-01,9,439
2020-10-01,10,401
2020-10-01,11,447
2020-10-01,12,391
2020-10-01,13,407
2020-10-01,14,392
2020-10-01,15,390
2020-10-01,16,439
2020-10-01,17,432
2020-10-01,18,452
2020-11-01,0,651
2020-11-01,1,712
2020-11-01,2,717
2020-11-01,3,724
2020-11-01,4,704
2020-11-01,5,739
2020-11-01,6,680
2020-11-01,7,666
2020-11-01,8,715
2020-11-01,9,722
2020-11-01,10,653
2020-11-01,11,684
2020-11-01,12,708
2020-11-01,13,725
2020-11-01,14,705
2020-11-01,15,689
2020-11-01,16,693
2020-11-01,17,686
2020-11-01,18,722
2020-12-01,0,1268
2020-12-01,1,1322
2020-12-01,2,1197
2020-12-01,3,1297
2020-12-01,4,1282
2020-12-01,5,1270
2020-12-01,6,1275
2020-12-01,7,1156
2020-12-01,8,1316
2020-12-01,9,1278
2020-12-01,10,1286
2020-12-01,11,1297
2020-12-01,12,1261
2020-12-01,13,1217
2020-12-01,14,1289
2020-12-01,15,1291
2020-12-01,16,1232
2020-12-01,17,1269
2020-12-01,18,1248
